student_id,school_math,sex_math,age_math,address_type_math,family_size_math,parent_status_math,mother_education_math,father_education_math,mother_job_math,father_job_math,school_choice_reason_math,guardian_math,travel_time_math,study_time_math,class_failures_math,school_support_math,family_support_math,extra_paid_classes_math,activities_math,nursery_school_math,higher_ed_math,internet_access_math,romantic_relationship_math,family_relationship_math,free_time_math,social_math,weekday_alcohol_math,weekend_alcohol_math,health_math,absences_math,grade_1_math,grade_2_math,final_grade_math,school_por,sex_por,age_por,address_type_por,family_size_por,parent_status_por,mother_education_por,father_education_por,mother_job_por,father_job_por,school_choice_reason_por,guardian_por,travel_time_por,study_time_por,class_failures_por,school_support_por,family_support_por,extra_paid_classes_por,activities_por,nursery_school_por,higher_ed_por,internet_access_por,romantic_relationship_por,family_relationship_por,free_time_por,social_por,weekday_alcohol_por,weekend_alcohol_por,health_por,absences_por,grade_1_por,grade_2_por,final_grade_por
11,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14
12,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,other,reputation,father,30 min. to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,other,reputation,father,30 min. to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13
13,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,health,services,course,father,<15 min.,<2 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,health,services,course,father,<15 min.,<2 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12
14,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13
15,GP,M,15,Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,other,other,home,other,<15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,GP,M,15,Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,other,other,home,other,<15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15
16,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,health,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,health,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17
17,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,mother,<15 min.,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,GP,F,16,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14
18,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,reputation,mother,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,GP,F,16,Urban,Greater than 3,Living together,secondary education,secondary education,other,other,reputation,mother,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14
19,GP,M,17,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,services,course,mother,<15 min.,<2 hours,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,GP,M,17,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,services,course,mother,<15 min.,<2 hours,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7
20,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,home,father,<15 min.,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,home,father,<15 min.,<2 hours,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12
21,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,reputation,mother,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,GP,M,15,Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,reputation,mother,<15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14
22,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,health,other,father,<15 min.,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,health,other,father,<15 min.,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12
23,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,other,course,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,GP,M,16,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,other,course,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14
24,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,GP,M,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10
25,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,higher education,services,health,course,mother,<15 min.,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,higher education,services,health,course,mother,<15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10
26,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,home,mother,<15 min.,<2 hours,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,GP,F,16,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,home,mother,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12
27,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min.,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12
28,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,other,mother,<15 min.,<2 hours,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,other,mother,<15 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11
29,GP,M,16,Urban,Less than or equal to 3,Apart,secondary education,higher education,services,other,home,mother,<15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,GP,M,16,Urban,Less than or equal to 3,Apart,secondary education,higher education,services,other,home,mother,<15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13
30,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,GP,M,16,Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12
31,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,services,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,health,services,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11
32,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15
33,GP,M,15,Rural,Greater than 3,Living together,higher education,secondary education,teacher,at_home,course,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,GP,M,15,Rural,Greater than 3,Living together,higher education,secondary education,teacher,at_home,course,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15
34,GP,M,15,Urban,Less than or equal to 3,Living together,secondary education,secondary education,other,other,course,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,GP,M,15,Urban,Less than or equal to 3,Living together,secondary education,secondary education,other,other,course,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12
35,GP,M,16,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,home,mother,<15 min.,<2 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,GP,M,16,Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,home,mother,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12
36,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,other,father,15 to 30 min.,<2 hours,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,GP,F,15,Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,other,father,15 to 30 min.,<2 hours,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11
37,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,home,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,home,mother,<15 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14
38,GP,M,16,Rural,Greater than 3,Apart,higher education,higher education,other,teacher,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,GP,M,16,Rural,Greater than 3,Apart,higher education,higher education,other,teacher,reputation,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13
39,GP,F,15,Rural,Greater than 3,Living together,secondary education,higher education,services,health,course,mother,<15 min.,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,GP,F,15,Rural,Greater than 3,Living together,secondary education,higher education,services,health,course,mother,<15 min.,5 to 10 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12
40,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,reputation,mother,<15 min.,<2 hours,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,GP,F,15,Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,reputation,mother,<15 min.,<2 hours,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12
41,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,15 to 30 min.,2 to 5 hours,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10
42,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,other,home,other,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,GP,M,15,Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,other,home,other,<15 min.,<2 hours,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11
43,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,course,father,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,course,father,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15
44,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,father,<15 min.,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,GP,M,15,Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,father,<15 min.,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10
45,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,at_home,course,father,15 to 30 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,at_home,course,father,15 to 30 min.,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11
46,GP,F,15,Urban,Less than or equal to 3,Apart,higher education,secondary education,other,other,course,mother,<15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,GP,F,15,Urban,Less than or equal to 3,Apart,higher education,secondary education,other,other,course,mother,<15 min.,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11
47,GP,F,16,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,services,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,GP,F,16,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,services,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13
48,GP,M,16,Urban,Greater than 3,Living together,higher education,secondary education,health,services,reputation,mother,<15 min.,>10 hours,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,GP,M,16,Urban,Greater than 3,Living together,higher education,secondary education,health,services,reputation,mother,<15 min.,>10 hours,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17
49,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,GP,M,15,Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,other,home,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13
50,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,other,father,<15 min.,2 to 5 hours,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,teacher,other,father,<15 min.,2 to 5 hours,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12
51,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,GP,F,16,Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13
52,GP,F,15,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,health,other,other,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,GP,F,15,Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,health,other,other,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16
53,GP,M,15,Urban,Less than or equal to 3,Apart,higher education,5th to 9th grade,health,health,other,father,15 to 30 min.,<2 hours,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,GP,M,15,Urban,Less than or equal to 3,Apart,higher education,5th to 9th grade,health,health,other,father,15 to 30 min.,<2 hours,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9
54,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,course,mother,<15 min.,<2 hours,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,GP,F,15,Urban,Greater than 3,Living together,higher education,higher education,services,services,course,mother,<15 min.,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12
55,GP,F,15,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,other,other,mother,<15 min.,<2 hours,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,GP,F,15,Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,other,other,mother,<15 min.,<2 hours,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13
56,GP,F,16,Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),other,other,other,mother,<15 min.,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,GP,F,16,Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),other,other,other,mother,<15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12
57,GP,F,15,Urban,Greater than 3,Apart,higher education,secondary education,services,services,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,GP,F,15,Urban,Greater than 3,Apart,higher education,secondary education,services,services,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15
58,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,GP,M,15,Urban,Greater than 3,Living together,higher education,higher education,teacher,health,reputation,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16
59,GP,M,15,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,at_home,home,father,<15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,GP,M,15,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,at_home,home,father,<15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14
60,GP,F,16,Urban,Greater than 3,Living together,higher education,5th to 9th grade,services,other,course,mother,<15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,GP,F,16,Urban,Greater than 3,Living together,higher education,5th to 9th grade,services,other,course,mother,<15 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16
61,GP,F,16,Rural,Greater than 3,Living together,higher education,higher education,health,teacher,other,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,GP,F,16,Rural,Greater than 3,Living together,higher education,higher education,health,teacher,other,mother,<15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16
62,GP,F,16,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),services,services,course,father,>1 hour,<2 hours,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,GP,F,16,Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),services,services,course,father,>1 hour,<2 hours,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16
63,GP,F,16,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,services,reputation,father,<15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,GP,F,16,Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,services,reputation,father,<15 min.,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10
